ds,y
2018/4/8 17:00,3122789.483
2018/4/8 18:00,2742544.559
2018/4/8 19:00,3096012.717
2018/4/8 20:00,3597204.119
2018/4/8 21:00,2124550.083
2018/4/8 22:00,2242548.85
2018/4/8 23:00,2106656.35
2018/4/9 0:00,2040300.9
2018/4/9 1:00,2679499.617
2018/4/9 2:00,3072305.3
2018/4/9 3:00,2107191.733
2018/4/9 4:00,1890118.7
2018/4/9 5:00,2388537.367
2018/4/9 6:00,1269004.383
2018/4/9 7:00,2483617.633
2018/4/9 8:00,2216595.683
2018/4/9 9:00,3140076.267
2018/4/9 10:00,2838698.317
2018/4/9 11:00,3448879.417
2018/4/9 12:00,3842777.567
2018/4/9 13:00,3783445.25
2018/4/9 14:00,3694765.2
2018/4/9 15:00,3935264.709
2018/4/9 16:00,3426310.083
2018/4/9 17:00,4240993.967
2018/4/9 18:00,3897113.75
2018/4/9 19:00,4202133.683
2018/4/9 20:00,3802287.933
2018/4/9 21:00,2999727.733
2018/4/9 22:00,4596105.073
2018/4/9 23:00,3332578.083
2018/4/10 0:00,4606450.783
2018/4/10 1:00,4043180.983
2018/4/10 2:00,5161374.1
2018/4/10 3:00,4284739.2
2018/4/10 4:00,4314584.533
2018/4/10 5:00,4305490.31
2018/4/10 6:00,2902138.717
2018/4/10 7:00,2784951.7
2018/4/10 8:00,3781467.712
2018/4/10 9:00,4068859.967
2018/4/10 10:00,3781395.933
2018/4/10 11:00,3431069.517
2018/4/10 12:00,2688894.083
2018/4/10 13:00,1440507.533
2018/4/10 14:00,3617676.717
2018/4/10 15:00,3685287.017
2018/4/10 16:00,2515548.583
2018/4/10 17:00,3231743.433
2018/4/10 18:00,4420219.283
2018/4/10 19:00,4565004.283
2018/4/10 20:00,3537528.8
2018/4/10 21:00,4223104.552
2018/4/10 22:00,4088515.379
2018/4/10 23:00,4330348.127
2018/4/11 0:00,3910067.534
2018/4/11 1:00,3332794.683
2018/4/11 2:00,4420348.833
2018/4/11 3:00,3345777.667
2018/4/11 4:00,5301369.089
2018/4/11 5:00,3454121.417
2018/4/11 6:00,2496921.1
2018/4/11 7:00,2603702.283
2018/4/11 8:00,2745280.767
2018/4/11 9:00,2811699.55
2018/4/11 10:00,3610598.083
2018/4/11 11:00,3888136.617
2018/4/11 12:00,2964860.717
2018/4/11 13:00,4798403.576
2018/4/11 14:00,3252204.2
2018/4/11 15:00,3565301.183
2018/4/11 16:00,4118331
2018/4/11 17:00,3155585.45
2018/4/11 18:00,3177959.317
2018/4/11 19:00,4143720.034
2018/4/11 20:00,4028183.933
2018/4/11 21:00,3384382.102
2018/4/11 22:00,4395195.683
2018/4/11 23:00,1447891.05
2018/4/12 0:00,3149332.367
2018/4/12 1:00,2845585.517
2018/4/12 2:00,2631670.183
2018/4/12 3:00,3753237.867
2018/4/12 4:00,4321917.017
2018/4/12 5:00,2239057.9
2018/4/12 6:00,2394169.754
2018/4/12 7:00,2056077.917
2018/4/12 8:00,3708328.983
2018/4/12 9:00,4020220.644
2018/4/12 10:00,3008185.65
2018/4/12 11:00,2967245.517
2018/4/12 12:00,4289166.933
2018/4/12 13:00,3689621.492
2018/4/12 14:00,3976558.767
2018/4/12 15:00,3841290.814
2018/4/12 16:00,4344953.281
2018/4/12 17:00,2222332.25
2018/4/12 18:00,1981302.033
2018/4/12 19:00,2422628.867
2018/4/12 20:00,3184326.733
2018/4/12 21:00,3120995.683
2018/4/12 22:00,3565289.542
2018/4/12 23:00,2592546.2
2018/4/13 0:00,1400473.4
2018/4/13 1:00,3293912.15
2018/4/13 2:00,4234462.881
2018/4/13 3:00,4895627.241
2018/4/13 4:00,2730195.25
2018/4/13 5:00,2369865.267
2018/4/13 6:00,1721364.533
2018/4/13 7:00,2668728.55
2018/4/13 8:00,3191712.167
2018/4/13 9:00,4126221.033
2018/4/13 10:00,4199225.237
2018/4/13 11:00,3367247.233
2018/4/13 12:00,4450982.356
2018/4/13 13:00,3514108.45
2018/4/13 14:00,3045434.067
2018/4/13 15:00,3424603.083
2018/4/13 16:00,4356382.932
2018/4/13 17:00,4551269.8
2018/4/13 18:00,3934002.455
2018/4/13 19:00,3132637.033
2018/4/13 20:00,4532017.367
2018/4/13 21:00,2526616.55
2018/4/13 22:00,2039609.2
2018/4/13 23:00,2482070.083
